Recipe Name,Ingredients,Quantity per Serving,Instructions,Time (mins),Difficulty
Sarson Da Saag,"Mustard Greens, Spinach, Butter, Spices","Mustard Greens-200g, Butter-50g","Cook mustard greens and spinach, blend with spices, serve with butter.",50,Medium
Aamras,"Mango, Sugar, Cardamom","Mango-200g, Sugar-50g","Blend mango pulp with sugar and cardamom, chill before serving.",20,Easy
Thandai,"Milk, Almonds, Saffron, Spices","Milk-200ml, Almonds-50g","Blend almonds, saffron, and spices into milk, chill before serving.",30,Easy
Kachori,"Flour, Lentils, Spices, Oil","Flour-100g, Lentils-50g","Make dough, stuff with lentil mixture, deep-fry until crisp.",60,High
Chettinad Chicken,"Chicken, Coconut, Spices","Chicken-200g, Coconut-50g",Cook chicken with coconut and Chettinad spices until tender.,50,Medium
Chicken Curry,"Chicken, Onion, Tomato, Spices","Chicken-200g, Onion-100g, Tomato-100g",Cook chicken in onion-tomato gravy with spices until tender.,50,Medium
Mutton Rogan Josh,"Mutton, Yogurt, Spices","Mutton-200g, Yogurt-50g",Cook mutton in aromatic spices and yogurt until tender.,90,High
Kosha Mangsho,"Mutton, Mustard Oil, Onion, Spices","Mutton-200g, Mustard Oil-50ml","Slow-cook mutton with mustard oil, onion, and spices.",90,High
Prawn Curry,"Prawns, Coconut Milk, Spices","Prawns-200g, Coconut Milk-100ml",Cook prawns in coconut milk and spices until done.,40,Medium
Fish Fry,"Fish, Flour, Spices, Oil","Fish-200g, Flour-50g","Coat fish with spices and flour, deep-fry until crispy.",30,Easy
Chingri Malai Curry,"Prawns, Coconut Milk, Mustard, Spices","Prawns-200g, Coconut Milk-100ml","Cook prawns in mustard-coconut milk gravy, simmer until thick.",50,Medium
Bebinca,"Coconut Milk, Flour, Sugar, Eggs","Coconut Milk-200ml, Flour-100g, Sugar-100g","Layer coconut-flour batter, bake until golden brown.",60,High
